GPSXSelect GPSYSelect GPSZSelect
-6.8279 -266.09 64.738
-9.14 -266.25 65.34
-11.466 -266.4 65.924
-13.801 -266.53 66.483
-13.801 -266.53 66.483
-16.148 -266.66 67.013
-18.512 -266.77 67.515
-18.512 -266.77 67.515
-23.278 -266.99 68.482
-25.678 -267.09 68.911
-25.678 -267.09 68.911
-28.107 -267.19 69.296
-30.546 -267.28 69.66
-30.546 -267.28 69.66
-33.007 -267.37 69.98
-35.489 -267.47 70.272
-35.489 -267.47 70.272
-37.984 -267.57 70.53
-40.503 -267.67 70.74
-40.503 -267.67 70.74
-43.045 -267.77 70.947
-45.6 -267.87 71.103
-45.6 -267.87 71.103
-48.177 -267.95 71.252
-50.783 -268.02 71.371
-53.405 -268.08 71.446
-53.405 -268.08 71.446
-56.048 -268.13 71.485
-58.714 -268.17 71.48
-58.714 -268.17 71.48
-61.397 -268.18 71.449
-64.101 -268.19 71.405
-66.829 -268.19 71.32
-66.829 -268.19 71.32
-69.573 -268.2 71.201
-72.339 -268.19 71.045
-75.119 -268.19 70.864
-77.924 -268.18 70.693
-80.748 -268.17 70.53
-83.594 -268.14 70.363
-86.455 -268.09 70.204
-89.336 -268.04 70.023
-92.226 -267.95 69.883
-95.131 -267.86 69.726
-95.131 -267.86 69.726
-98.044 -267.75 69.578
-103.9 -267.53 69.274
-106.85 -267.43 69.091
-106.85 -267.43 69.091
-109.82 -267.33 68.922
-112.8 -267.23 68.748
-115.78 -267.14 68.568
-118.78 -267.05 68.388
-121.8 -266.96 68.194
-124.82 -266.85 68.013
-127.86 -266.71 67.844
-130.91 -266.56 67.678
-133.97 -266.4 67.524
-137.04 -266.23 67.345
-140.12 -266.06 67.188
-143.21 -265.88 67.058
-146.32 -265.72 66.904
-149.43 -265.56 66.761
-152.56 -265.4 66.633
-155.69 -265.23 66.519
-158.84 -265.03 66.435
-161.99 -264.84 66.354
-165.15 -264.64 66.28
-168.31 -264.42 66.211
-171.49 -264.19 66.149
-177.85 -263.68 66.081
-206.61 -261.03 66.409
-222.63 -259.29 66.846
-225.82 -258.91 66.95
-229.02 -258.52 67.052
-232.21 -258.1 67.138
-232.21 -258.1 67.138
-235.39 -257.66 67.268
-238.57 -257.18 67.41
-238.57 -257.18 67.41
-244.87 -256.03 67.757
-244.87 -256.03 67.757
-247.97 -255.33 67.93
-251.04 -254.51 68.126
-251.04 -254.51 68.126
-254.05 -253.57 68.32
-257 -252.46 68.548
-257 -252.46 68.548
-259.85 -251.2 68.833
-265.35 -248.28 69.431
-270.6 -245.01 69.993
-270.6 -245.01 69.993
-273.15 -243.26 70.23
-275.64 -241.45 70.455
-275.64 -241.45 70.455
-278.08 -239.55 70.657
-280.45 -237.58 70.828
-282.78 -235.54 71.002
-282.78 -235.54 71.002
-285.05 -233.44 71.133
-285.05 -233.44 71.133
-287.28 -231.27 71.238
-289.46 -229.06 71.331
-289.46 -229.06 71.331
-291.58 -226.78 71.402
-293.67 -224.46 71.441
-295.71 -222.08 71.451
-295.71 -222.08 71.451
-297.72 -219.67 71.443
-299.68 -217.22 71.414
-301.62 -214.72 71.371
-301.62 -214.72 71.371
-303.52 -212.2 71.304
-305.4 -209.64 71.224
-305.4 -209.64 71.224
-307.24 -207.05 71.129
-309.06 -204.43 71.001
-310.87 -201.79 70.857
-310.87 -201.79 70.857
-312.65 -199.11 70.686
-314.41 -196.42 70.488
-314.41 -196.42 70.488
-316.15 -193.69 70.264
-317.86 -190.94 70.037
-317.86 -190.94 70.037
-319.55 -188.16 69.787
-321.19 -185.34 69.524
-322.79 -182.49 69.227
-322.79 -182.49 69.227
-325.83 -176.67 68.607
-325.83 -176.67 68.607
-327.25 -173.69 68.316
-328.6 -170.67 68.004
-328.6 -170.67 68.004
-329.87 -167.61 67.697
-331.05 -164.5 67.415
-332.14 -161.35 67.161
-332.14 -161.35 67.161
-333.14 -158.15 66.944
-334.06 -154.92 66.733
-334.06 -154.92 66.733
-334.9 -151.66 66.582
-335.68 -148.38 66.39
