GPSXSelect GPSYSelect GPSZSelect
57.731 448.79 26.791
57.731 448.79 26.573
57.742 444.43 26.169
57.849 444.44 25.914
57.789 440.24 25.217
57.755 440.23 25.319
57.8 435.98 24.827
57.733 435.98 24.676
57.74 431.77 24.259
57.707 431.78 24.025
57.612 425.09 23.551
57.682 425.11 23.2
57.516 420.65 22.883
57.483 420.66 22.72
57.427 416.64 22.015
57.366 412.38 21.584
57.307 408.19 21.16
57.307 408.2 20.919
57.275 408.2 20.855
57.275 408.2 20.811
57.071 398.45 20.267
57.103 398.45 20.16
57.012 394.19 19.754
56.953 389.99 19.672
56.922 390 19.311
56.863 385.76 19.129
56.804 381.52 18.826
56.804 381.52 18.856
56.715 377.3 18.712
56.746 377.3 18.677
56.746 377.3 18.613
56.653 370.64 18.362
56.683 370.64 18.422
56.624 366.43 18.188
56.624 366.43 18.158
56.596 362.23 17.987
56.596 362.23 18.016
56.599 358.04 17.786
56.54 353.85 17.648
56.511 353.85 17.648
56.452 349.68 17.449
56.452 349.68 17.359
56.393 345.48 17.222
56.483 345.48 17.28
56.396 341.33 17.026
56.424 341.34 16.937
56.393 337.17 16.831
56.454 337.18 16.771
56.366 333.04 16.694
56.394 333.04 16.55
56.422 328.9 16.298
56.453 328.9 16.295
56.365 324.78 15.99
56.365 324.79 15.907
56.419 320.69 15.604
56.416 316.59 15.47
56.447 316.59 15.327
56.413 312.49 15.092
56.47 312.49 14.92
56.466 308.43 14.707
56.439 308.44 14.653
56.488 304.41 14.31
56.544 304.42 14.137
56.508 300.34 13.86
56.501 296.31 13.682
56.642 296.32 13.295
56.551 292.26 13.208
56.632 292.26 13.017
56.622 288.26 12.765
56.597 288.26 12.842
56.6 281.95 12.405
56.708 281.95 12.323
56.671 278.01 12.057
56.725 278.01 11.946
56.658 274.02 11.817
56.814 274.02 11.686
56.75 270.1 11.451
56.88 270.1 11.271
56.862 266.18 11.247
56.917 266.19 11.167
56.876 262.3 11.042
56.876 262.3 11.042
56.959 258.41 10.869
57.062 258.41 10.79
56.992 254.57 10.623
57.043 254.57 10.62
57.097 250.73 10.452
57.151 250.73 10.401
57.102 246.88 10.332
57.154 243.11 10.167
57.23 243.11 10.117
57.135 239.36 10.096
57.352 239.36 9.9516
57.256 235.61 9.9082
57.377 235.61 9.9312
57.376 231.86 9.8183
57.376 231.86 9.8183
57.518 231.86 9.7927
57.473 226.06 9.6542
57.569 226.06 9.5614
57.47 222.35 9.5181
57.701 222.35 9.4958
57.673 218.68 9.4309
57.855 218.68 9.3397
57.798 215.06 9.2544
57.937 215.06 9.2078
57.952 211.44 9.1447
57.914 207.84 9.0385
58.03 207.84 8.9713
58.041 204.25 8.8422
58.111 204.25 8.8609
58.164 200.74 8.7345
58.227 200.74 8.6922
58.255 197.16 8.6099
58.326 197.16 8.5444
58.392 193.68 8.4207
58.371 193.68 8.483
58.436 190.1 8.2956
58.484 190.1 8.2313
58.479 186.62 8.1124
58.545 186.62 8.0895
58.587 183.18 8.0305
58.583 179.75 7.9938
58.603 179.75 7.9738
58.6 176.36 7.816
58.684 176.35 7.8954
58.638 172.96 7.7801
58.697 172.96 7.7997
58.672 169.64 7.7256
58.716 169.64 7.7256
58.688 166.29 7.6316
58.618 163 7.5774
58.62 163 7.5583
58.571 159.73 7.4853
58.593 159.73 7.4853
58.522 156.47 7.4126
58.543 156.47 7.3538
58.418 153.28 7.3204
58.436 153.28 7.3204
58.387 150.07 7.2677
58.369 150.07 7.2493
58.3 146.9 7.158
58.3 146.9 7.1214
58.195 143.75 7.0519
58.213 143.75 7.0315
58.108 140.61 6.9445
58.108 140.61 6.9625
58.004 137.49 6.8203
57.949 137.49 6.8003
57.882 134.4 6.68
57.864 134.4 6.6602
57.743 131.33 6.5373
57.642 128.28 6.4548
57.66 128.28 6.47
57.507 125.26 6.352
57.488 125.26 6.3155
57.353 122.24 6.1626
57.336 122.25 6.1286
57.22 119.24 5.9948
57.184 119.24 5.9927
57.017 116.24 5.7917
56.984 116.25 5.7416
56.837 113.23 5.6095
56.674 110.27 5.4982
56.59 110.27 5.4102
56.451 107.34 5.3052
56.349 107.34 5.2525
56.158 104.39 5.0625
56.154 104.39 5.0244
56.018 101.45 4.9069
55.917 101.45 4.8374
55.78 98.521 4.7182
55.664 98.525 4.6493
55.533 95.588 4.5515
55.383 92.684 4.4031
55.254 92.688 4.3375
55.074 89.77 4.2393
55.151 89.768 4.2546
54.914 86.877 4.0346
54.725 86.882 3.9684
54.657 83.983 3.8574
54.642 83.982 3.9323
54.353 81.124 3.6889
54.269 81.127 3.6241
54.241 78.229 3.64
53.791 75.371 3.4155
53.638 75.375 3.3084
53.63 72.5 3.2683
53.415 69.624 3.1962
53.234 69.628 3.1358
53.149 66.788 3.0356
52.887 66.794 2.9055
52.815 63.957 2.8828
52.625 61.125 2.7859
52.52 61.127 2.7137
52.21 58.311 2.6071
52.201 58.311 2.6173
52.15 55.519 2.5159
52.007 55.521 2.4587
